Conference	Org	Homepage
AAAI_2011	IEEE	http://www.aaai.org/Library/AAAI/aaai11contents.php
AAAI_2012	IEEE	http://www.aaai.org/Library/AAAI/aaai12contents.php
AAAI_2013	IEEE	http://www.aaai.org/Library/AAAI/aaai13contents.php
AAAI_2014	IEEE	http://www.aaai.org/Library/AAAI/aaai14contents.php
AAAI_2015	IEEE	http://www.aaai.org/Library/AAAI/aaai15contents.php
AAAI_2016	IEEE	http://www.aaai.org/Library/AAAI/aaai16contents.php
ACL_2011	ACL	http://aclweb.org/anthology/P/P11/
ACL_2012	ACL	http://aclweb.org/anthology/P/P12/
ACL_2013	ACL	http://aclweb.org/anthology/P/P13/
ACL_2014	ACL	http://aclweb.org/anthology/P/P14/
ACL_2015	ACL	http://aclweb.org/anthology/P/P15/
ACL_2016	ACL	http://aclweb.org/anthology/P/P16/
CIKM_2011	ACM	http://dl.acm.org/tab_about.cfm?id=2063576&type=proceeding&sellOnline=0&parent_id=2063576&parent_type=proceeding&title=Proceedings%20of%20the%2020th%20ACM%20international%20conference%20on%20Information%20and%20knowledge%20management&toctitle=International%20Conference%20on%20Information%20and%20Knowledge%20Management&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
CIKM_2012	ACM	http://dl.acm.org/tab_about.cfm?id=2396761&type=proceeding&sellOnline=0&parent_id=2396761&parent_type=proceeding&title=Proceedings%20of%20the%2021st%20ACM%20international%20conference%20on%20Information%20and%20knowledge%20management&toctitle=21st%20ACM%20International%20Conference%20on%20Information%20and%20Knowledge%20Management&tocissue_date=&notoc=0&usebody=tabbody&tocnext_id=&tocnext_str=&tocprev_id=&tocprev_str=&toctype=conference&cfid=709347519&cftoken=33494801&_cf_containerId=prox&_cf_nodebug=true&_cf_nocache=true&_cf_clientid=F689E6F385088EC5F85AFE43A1106F9B&_cf_rc=1
